"","logFC","logCPM","LR","PValue","FDR"
"Bra002306",-0.182703508366268,5.51059095283464,1.45259129107534,0.228112612670295,0.563312361486222
"Bra026474",0.338568286245866,4.22419831645198,1.45247634407085,0.228131017461169,0.563312361486222
"Bra034916",-0.24341881084125,3.25226589180662,1.45243659358269,0.228137382543931,0.563312361486222
"Bra030775",-0.248104709948264,3.93313804054237,1.45228659264529,0.2281614035033,0.563312361486222
"Bra024735",-0.384263920669556,1.68713967074504,1.45221455130413,0.228172941193466,0.563312361486222
"Bra003267",0.333046727535736,2.66982902642935,1.45208448569887,0.228193773463837,0.563312361486222
"Bra012634",-0.270377789574381,7.57510584877041,1.45185309419292,0.228230840496607,0.563346001899501
"Bra013613",0.252728216335393,3.83097236334971,1.45140717021343,0.228302294313217,0.563366908010178
"Bra003108",0.35700856146245,1.96666791727494,1.45132410284222,0.228315607807956,0.563366908010178
"Bra037612",0.33040793105267,2.74290126036961,1.45131027899278,0.228317823494741,0.563366908010178
